"RootKind","RootId","RootCommanders","RootCompleteness","RootManualFallback","FromKind","FromId","RefKind","RefId","Field","Resolution","Source","Depth","Via"
"ability","MorphRoachToRavager","Abathur","ability-with-chain","no","ability","MorphRoachToRavager","requirement","HaveLair","Requirements","missing","","1","ability:MorphRoachToRavager"
"ability","MorphRoachVileToRavager","Abathur","ability-with-chain","no","ability","MorphRoachVileToRavager","requirement","HaveLair","Requirements","missing","","1","ability:MorphRoachVileToRavager"
"ability","MutaliskMorphToDevourer","Abathur","ability-with-chain","no","ability","MutaliskMorphToDevourer","requirement","HaveGreaterSpire","Requirements","missing","","1","ability:MutaliskMorphToDevourer"
"ability","SymbioteCarapace","Abathur","ability-with-chain","no","ability","SymbioteCarapace","button","CommanderKerriganMutatingCarapace","DefaultButtonFace","missing","","1","ability:SymbioteCarapace"
"ability","SymbioteCarapace","Abathur","ability-with-chain","no","ability","SymbioteCarapace","validator","IsNotBuried","Validator","missing","","1","ability:SymbioteCarapace"
"ability","AscendantSacrificeInstant","Alarak","ability-with-chain","no","ability","AscendantSacrificeInstant","button","AscendantSacrifice","DefaultButtonFace","missing","","1","ability:AscendantSacrificeInstant"
"ability","WarpPrismTransport","Alarak","ability-minimal","no","ability","WarpPrismTransport","behavior","TransportDummy","Behavior","missing","","1","ability:WarpPrismTransport"
"ability","PsiStorm","Artanis","ability-minimal","no","ability","PsiStorm","requirement","UsePsiStorm","Requirements","missing","","1","ability:PsiStorm"
"ability","Charge","Artanis,Vorazun","ability-minimal","no","ability","Charge","requirement","UseCharge","Requirements","missing","","1","ability:Charge"
"ability","DehakaConsume","Dehaka","ability-with-chain","no","ability","DehakaConsume","effect","FaceEmbrace","Effect","missing","","1","ability:DehakaConsume"
"ability","DehakaLearn","Dehaka","ability-with-chain","no","ability","DehakaLearn","button","LearnDehakaGiveEssence","DefaultButtonFace","missing","","1","ability:DehakaLearn"
"ability","DehakaMorphToPrimalSwarmHostBurrowed","Dehaka","ability-with-chain","no","ability","DehakaMorphToPrimalSwarmHostBurrowed","button","MorphToSwarmHostBurrowedMP","DefaultButtonFace","missing","","1","ability:DehakaMorphToPrimalSwarmHostBurrowed"
"ability","DehakaMorphToSwarmHostBurrowed","Dehaka","ability-with-chain","no","ability","DehakaMorphToSwarmHostBurrowed","button","MorphToSwarmHostBurrowedMP","DefaultButtonFace","missing","","1","ability:DehakaMorphToSwarmHostBurrowed"
"ability","DehakaUltraliskCrashingCharge","Dehaka","ability-with-chain","no","ability","DehakaUltraliskCrashingCharge","validator","BurrowChargeMinimumRange","Validator","missing","","1","ability:DehakaUltraliskCrashingCharge"
"ability","DehakaUltraliskCrashingCharge","Dehaka","ability-with-chain","no","ability","DehakaUltraliskCrashingCharge","validator","CasterIsAttacking","Validator","missing","","1","ability:DehakaUltraliskCrashingCharge"
"ability","DehakaUltraliskCrashingCharge","Dehaka","ability-with-chain","no","ability","DehakaUltraliskCrashingCharge","validator","CasterNotHoldingPosition","Validator","missing","","1","ability:DehakaUltraliskCrashingCharge"
"ability","DehakaUltraliskCrashingCharge","Dehaka","ability-with-chain","no","ability","DehakaUltraliskCrashingCharge","validator","TargetNotHarmless","Validator","missing","","1","ability:DehakaUltraliskCrashingCharge"
"ability","HHBattlecruiserHyperjump","Horner","ability-with-chain","no","ability","HHBattlecruiserHyperjump","effect","FleetwideJump","Effect","missing","","1","ability:HHBattlecruiserHyperjump"
"ability","HHHellionBomb","Horner","ability-with-chain","no","ability","HHHellionBomb","validator","RangeCheckLE6","Validator","missing","","1","ability:HHHellionBomb"
"ability","HHWidowMineAttack","Horner","ability-minimal","no","ability","HHWidowMineAttack","validator","IsNotDisguisedChangeling","Validator","missing","","1","ability:HHWidowMineAttack"
"ability","HHWidowMineAttack","Horner","ability-minimal","no","ability","HHWidowMineAttack","validator","noMarkers","Validator","missing","","1","ability:HHWidowMineAttack"
"ability","HHWidowMineAttack","Horner","ability-minimal","no","ability","HHWidowMineAttack","validator","NotHallucinationOrNotDetected","Validator","missing","","1","ability:HHWidowMineAttack"
"ability","HHWraithCloak","Horner","ability-with-chain","no","ability","HHWraithCloak","behavior","WraithCloak","BehaviorArray","missing","","1","ability:HHWraithCloak"
