RootKind	RootId	RootCommanders	RootCompleteness	RootManualFallback	FromKind	FromId	RefKind	RefId	Field	Resolution	Source	Depth	Via
ability	AbathurDeepTunnel	Abathur	ability-with-chain	no	ability	AbathurDeepTunnel	requirement	HaveAbathurImpalerDeepTunnel	Requirements	official-reference	references/sc2-build-96883-casc-export/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/requirementdata.xml	1	ability:AbathurDeepTunnel
ability	AbathurDeepTunnel	Abathur	ability-with-chain	no	ability	AbathurDeepTunnel	effect	AbathurDeepTunnelCU	Effect	official-reference	references/sc2-build-96883-casc-export/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/effectdata.xml	1	ability:AbathurDeepTunnel
ability	AbathurDeepTunnelImproved	Abathur	ability-with-chain	no	ability	AbathurDeepTunnelImproved	requirement	HaveAbathurImpalerDeepTunnelImproved	Requirements	official-reference	references/sc2-build-96883-casc-export/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/requirementdata.xml	1	ability:AbathurDeepTunnelImproved
ability	AbathurDeepTunnelImproved	Abathur	ability-with-chain	no	ability	AbathurDeepTunnelImproved	effect	AbathurDeepTunnelCU	Effect	official-reference	references/sc2-build-96883-casc-export/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/effectdata.xml	1	ability:AbathurDeepTunnelImproved
ability	AdvancedConstructionAuto	Swann	ability-minimal	no	ability	AdvancedConstructionAuto	requirement	HaveAdvancedConstruction	Requirements	official-reference	references/sc2-build-96883-casc-export/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/requirementdata.xml	1	ability:AdvancedConstructionAuto
ability	ArchonWarp	Artanis	ability-minimal	no	ability	ArchonWarp	requirement	NotHaveDarkArchonMindControl	Requirements	official-reference	references/sc2-build-96883-casc-export/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/requirementdata.xml	1	ability:ArchonWarp
ability	AscendantSacrificeInstant	Alarak	ability-with-chain	no	ability	AscendantSacrificeInstant	button	AscendantSacrifice	DefaultButtonFace	missing		1	ability:AscendantSacrificeInstant
ability	AscendantSacrificeInstant	Alarak	ability-with-chain	no	ability	AscendantSacrificeInstant	validator	AscendantSacrificeCasterEnergyLE100	Validator	official-reference	references/sc2-build-96883-casc-export/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/validatordata.xml	1	ability:AscendantSacrificeInstant
ability	AscendantSacrificeInstant	Alarak	ability-with-chain	no	ability	AscendantSacrificeInstant	effect	AscendantSacrificeSearch	Effect	official-reference	references/sc2-build-96883-casc-export/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/effectdata.xml	1	ability:AscendantSacrificeInstant
ability	AssaultModeMengsk	Mengsk	ability-with-chain	no	ability	AssaultModeMengsk	effect	VikingMengskGroundAttackDamage	Effect	xm-dependency	原始mod/Mods/XM/XMMengsk.SC2Mod/Base.SC2Data/GameData/EffectData.xml	1	ability:AssaultModeMengsk
ability	AssaultModeMengsk	Mengsk	ability-with-chain	no	ability	AssaultModeMengsk	effect	VikingMengskWeaponChange	Effect	xm-dependency	原始mod/Mods/XM/XMMengsk.SC2Mod/Base.SC2Data/GameData/EffectData.xml	1	ability:AssaultModeMengsk
ability	AssaultModeMengsk	Mengsk	ability-with-chain	no	ability	AssaultModeMengsk	unit	VikingMengskAssault	UnitAttr	xm-dependency	原始mod/Mods/XM/XMMengsk.SC2Mod/Base.SC2Data/GameData/UnitData.xml	1	ability:AssaultModeMengsk
ability	BanelingStetmannExplode	Stetmann	ability-with-chain	no	ability	BanelingStetmannExplode	effect	BanelingStetmannExplodeAbilitySwitch	Effect	official-reference	references/sc2-build-96883-casc-export/mods/starcoop/commanders/egonstetmann.sc2mod/base.sc2data/gamedata/effectdata.xml	1	ability:BanelingStetmannExplode
