Kind	Id	Commanders	Scenarios	ProfileUsageCount	LocalTag	LocalSource	Completeness	ManualFallback	ManualFactory	DirectReferenceCount	IssueRows	MissingRows	ExternalRows
ability	AbathurDeepTunnel	Abathur	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	2	0	2
ability	AbathurDeepTunnelImproved	Abathur	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	2	0	2
ability	AbathurMend	Abathur	panel_cost_smoke	2	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	1	0	1
ability	AdvancedConstructionAuto	Swann	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		2	0	0	0
ability	AlarakACSummonDeathfleetTarget	Alarak	panel_cost_smoke	2	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	24	0	24
ability	AlarakStructureOvercharge	Alarak	panel_cost_smoke	3	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	2	0	2
ability	ArchonWarp	Artanis	unit_or_evolution_dynamic	1	CAbilMerge	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		1	0	0	0
ability	ArtilleryMengskGlobalExperimentalStrike	Mengsk	panel_cost_smoke	2	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		3	0	0	0
ability	AssaultModeMengsk	Mengsk	unit_or_evolution_dynamic	1	CAbilMorph	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	3	0	3
ability	BanelingStetmannExplode	Stetmann	unit_or_evolution_dynamic	1	CAbilEffectInstant	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		2	0	0	0
ability	BanelingStetmannJump	Stetmann	unit_or_evolution_dynamic	1	CAbilAugment	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		3	1	0	1
ability	Banshee_BlackOpsAirstrike	Nova	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		5	1	0	1
ability	BansheeAirstrike	Raynor	panel_cost_smoke	2	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		2	0	0	0
ability	BansheeCloak	Raynor	unit_or_evolution_dynamic	2	CAbilBehavior	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	manual-ability-stub	yes	behaviorToggleStub	2	0	0	0
ability	BattlecruiserMengskHyperjump	Mengsk	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	3	0	3
ability	BattlecruiserMengskYamato	Mengsk	unit_or_evolution_dynamic	1	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-with-chain	no		4	7	0	7
ability	Blink	Alarak,Vorazun	unit_or_evolution_dynamic	2	CAbilEffectTarget	原始mod/Mods/XM/XMFinal.SC2Mod/Base.SC2Data/GameData/AbilData.xml	ability-minimal	no		1	0	0	0
