RootKind	RootId	RootCommanders	RootCompleteness	RootManualFallback	FromKind	FromId	RefKind	RefId	Field	Resolution	Source	Depth	Via
ability	AbathurDeepTunnel	Abathur	ability-with-chain	no	ability	AbathurDeepTunnel	requirement	HaveAbathurImpalerDeepTunnel	Requirements	official-reference	游戏数据/官方SC2原始文本镜像/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/requirementdata.xml	1	ability:AbathurDeepTunnel
ability	AbathurDeepTunnel	Abathur	ability-with-chain	no	ability	AbathurDeepTunnel	effect	AbathurDeepTunnelCU	Effect	official-reference	游戏数据/官方SC2原始文本镜像/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/effectdata.xml	1	ability:AbathurDeepTunnel
ability	AbathurDeepTunnelImproved	Abathur	ability-with-chain	no	ability	AbathurDeepTunnelImproved	requirement	HaveAbathurImpalerDeepTunnelImproved	Requirements	official-reference	游戏数据/官方SC2原始文本镜像/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/requirementdata.xml	1	ability:AbathurDeepTunnelImproved
ability	AbathurDeepTunnelImproved	Abathur	ability-with-chain	no	ability	AbathurDeepTunnelImproved	effect	AbathurDeepTunnelCU	Effect	official-reference	游戏数据/官方SC2原始文本镜像/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/effectdata.xml	1	ability:AbathurDeepTunnelImproved
ability	AdvancedConstructionAuto	Swann	ability-minimal	no	ability	AdvancedConstructionAuto	requirement	HaveAdvancedConstruction	Requirements	official-reference	游戏数据/官方SC2原始文本镜像/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/requirementdata.xml	1	ability:AdvancedConstructionAuto
ability	AlarakACSummonDeathfleetTarget	Alarak	ability-with-chain	no	effect	AlarakACSummonDeathFleetInitialSet	validator	HasVision	Validator	official-reference	游戏数据/官方SC2原始文本镜像/mods/liberty.sc2mod/base.sc2data/gamedata/validatordata.xml	2	ability:AlarakACSummonDeathfleetTarget -> effect:AlarakACSummonDeathFleetInitialSet
ability	AlarakACSummonDeathfleetTarget	Alarak	ability-with-chain	no	effect	AlarakACSummonDeathFleetInitialSet	effect	DeathFleetClearOldUnits	Effect	official-reference	游戏数据/官方SC2原始文本镜像/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/effectdata.xml	2	ability:AlarakACSummonDeathfleetTarget -> effect:AlarakACSummonDeathFleetInitialSet
ability	AlarakACSummonDeathfleetTarget	Alarak	ability-with-chain	no	unit	SOAMothershipv4	ability	AlarakMothershipMassRecall	AbilArray.Link	official-reference	游戏数据/官方SC2原始文本镜像/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	2	ability:AlarakACSummonDeathfleetTarget -> unit:SOAMothershipv4
ability	AlarakACSummonDeathfleetTarget	Alarak	ability-with-chain	no	unit	SOAMothershipv4	ability	AlarakACSoAMothershipV4BlackHole	AbilArray.Link	official-reference	游戏数据/官方SC2原始文本镜像/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	2	ability:AlarakACSummonDeathfleetTarget -> unit:SOAMothershipv4
ability	AlarakACSummonDeathfleetTarget	Alarak	ability-with-chain	no	unit	SOAMothershipv4	ability	AlarakMothershipWarpTrain	AbilArray.Link	official-reference	游戏数据/官方SC2原始文本镜像/mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	2	ability:AlarakACSummonDeathfleetTarget -> unit:SOAMothershipv4
