指挥官	类型	来源单位	当前CUnit	状态	缺运行时attack	缺运行时武器	缺命令卡接线	本地技能	本地武器	运行时技能	运行时武器	官方命令卡技能
阿巴瑟	单位/英雄	GuardianMP	GuardianMP	ok_effective_combat_link	否	否	无	EvolveToLeviathanGuardianMP, que1	无	attack, move, stop, EvolveToLeviathanGuardianMP, que1	GuardianMPWeapon	无
阿巴瑟	单位/英雄	DevourerMP	DevourerMP	ok_effective_combat_link	否	否	无	无	无	stop, attack, move	DevourerMPWeapon	无
阿巴瑟	单位/英雄	Mutalisk	Mutalisk	ok_effective_combat_link	否	否	无	MutaliskMorphToGuardian, MutaliskMorphToDevourer, que1, EvolveToLeviathanMutalisk, StukovInfestedWildMutation	无	stop, attack, move, MutaliskMorphToGuardian, MutaliskMorphToDevourer, que1, EvolveToLeviathanMutalisk, StukovInfestedWildMutation	GlaiveWurm	斯托科夫 感染体 野性突变(StukovInfestedWildMutation), MorphtoDevourer(MutaliskMorphToDevourer)
阿巴瑟	单位/英雄	Roach	Roach	ok_effective_combat_link	否	否	无	que1, MorphRoachToRavager, EvolveToBrutaliskRoach, AbathurDeepTunnelImproved	无	stop, attack, move, BurrowRoachDown, MorphToRavager, que1, MorphRoachToRavager, EvolveToBrutaliskRoach, AbathurDeepTunnelImproved	RoachMelee, AcidSaliva	变异为破坏者(MorphRoachToRavager), 出地(BurrowUltraliskUp)
阿巴瑟	单位/英雄	SwarmHost	SwarmHost	ok_effective_combat_link	否	否	无	AbathurDeepTunnel, AbathurDeepTunnelImproved, LocustLaunch, EvolveToBrutaliskSwarmHost, que1	SwarmHostFakeWeapon	attack, stop, move, MorphToSwarmHostRooted, MorphToSwarmHostBurrowed, AbathurDeepTunnel, AbathurDeepTunnelImproved, LocustLaunch, EvolveToBrutaliskSwarmHost, que1	LocustLaunch, LocustLaunchPressurizedGlands, SwarmHostFakeWeapon	LocustLaunch(LocustLaunch), 深槽虫道(AbathurDeepTunnel), SwarmHostRootBurrow(MorphToSwarmHostBurrowed)
阿巴瑟	单位/英雄	SwarmQueen	SwarmQueen	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, BurrowSwarmQueenDown, SwarmQueenTrain, SwarmQueenParasiticInvasion, MorphToLargeSwarmQueen, que1	SwarmQueenAcidSpines	无
阿巴瑟	单位/英雄	RoachCorpser	RoachCorpser	ok_effective_combat_link	否	否	无	que1, MorphRoachToRavager	无	stop, attack, move, BurrowHotSCorpserDown, que1, MorphRoachToRavager	RoachCorpserMelee, RoachCorpserAcidSaliva	变异为破坏者(MorphRoachToRavager)
阿巴瑟	单位/英雄	RoachVile	RoachVile	ok_effective_combat_link	否	否	无	que1, MorphRoachVileToRavager, EvolveToBrutaliskRoachVile, AbathurDeepTunnelImproved	无	stop, attack, move, HotSBurrowVileDown, que1, MorphRoachVileToRavager, EvolveToBrutaliskRoachVile, AbathurDeepTunnelImproved	RoachVileMelee, RoachVileAcidSaliva	变异为破坏者(MorphRoachVileToRavager), 深槽虫道(AbathurDeepTunnelImproved)
阿巴瑟	单位/英雄	RavagerAbathur	RavagerAbathur	ok_effective_combat_link	否	否	无	stop, attack, move, que1, BurrowRavagerAbathurDown, RavagerAbathurCorrosiveBile, EvolveToBrutaliskRavager, AbathurDeepTunnelImproved	RavagerWeapon	stop, attack, move, que1, BurrowRavagerAbathurDown, RavagerAbathurCorrosiveBile, EvolveToBrutaliskRavager, AbathurDeepTunnelImproved	RavagerWeapon	腐蚀胆汁(RavagerAbathurCorrosiveBile), 潜地(BurrowRavagerAbathurDown)
阿巴瑟	单位/英雄	Viper	Viper	ok_effective_combat_link	否	否	无	ParasiticBomb, EvolveToLeviathanViper, que1	无	stop, move, DisablingCloud, ParasiticBomb, Yoink, ViperConsumption, attack, EvolveToLeviathanViper, que1	ViperAir	吞噬(ViperConsumption), 绑架(Yoink), 寄生弹(ParasiticBomb)
