指挥官	面板技能	panelId	abilityId	abilityCatalog	buttonId	buttonCatalog	requirementId	requirementCatalog	casterId	casterCatalog	目标方式	费用/冷却/充能	能力节点摘要	具体效果	当前状态
阿巴瑟	愈合	mend	AbathurMend	本地 CAbilEffectInstant	AbathurMend	本地 CButton		未使用	CoopCasterAbathur	本地 CUnit	瞬发	冷却 使用 150 秒	主效果 AbathurMendSearch	立即治疗友方生物和机械单位以及建筑100点生命值。在10秒内额外恢复50点生命值。；愈合：立即治疗友方生物、机械单位和建筑，并追加持续治疗；升级后最多储存 3 次使用次数。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
阿巴瑟	孵化剧毒巢穴	toxic_nest	SpawnToxicNest	本地 CAbilBuild	SpawnToxicNest	本地 CButton		未使用	CoopCasterAbathur	本地 CUnit	建造点	建造 ToxicNest	射程 500	孵化一个可排放菌毯的剧毒巢穴，可以爆炸并对附近的敌方地面单位造成125点伤害。；孵化剧毒巢穴：在指定点生成可铺菌毯的剧毒巢穴，触发后对附近敌方地面单位造成伤害。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
阿拉纳克	死亡舰队	death_fleet	AlarakACSummonDeathfleetTarget	本地 CAbilEffectTarget	AlarakACSummonDeathfleet	本地 CButton	NoAlarakMothership	本地 CRequirement	CoopCasterAlarak	本地 CUnit	点目标	冷却 初始 600 秒，使用 360 秒，位置 Player	射程 500；主效果 AlarakACSummonDeathFleetInitialSet；产物 SOAMothershipv4	折跃可控制的塔达林母舰和4艘毁灭者，为你战斗60秒。；召唤死亡舰队母舰；本地能力节点显示初始冷却 600 秒、使用冷却 360 秒，并要求场上没有阿拉纳克母舰。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
阿拉纳克	建筑超载	structure_overcharge	AlarakStructureOvercharge	本地 CAbilEffectTarget	AlarakStructureOvercharge	本地 CButton		未使用	CoopCasterAlarak	本地 CUnit	单位/建筑目标	充能 最大 3，每次 1，初始恢复 90 秒，恢复 90 秒	射程 500；主效果 AlarakStructureOverchargeSet	给目标友方建筑或相位模式下的战争棱镜充能，使其可以攻击附近的敌方地面和空中单位，造成40点伤害。该效果持续45秒。；给友方建筑或相位模式战争棱镜充能；本地效果链显示伤害 40、持续 45 秒、搜索半径 15。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
阿塔尼斯	轨道轰炸：打开目标模式	orbital_strike_activate	SOAOrbitalStrikeActivate	依赖/官方 CAbilBehavior	SOAOrbitalStrike	本地 CButton	HaveSOAOrbitalStrike	依赖/官方 CRequirement	SoACasterArtanis	本地 CUnit	目标模式开关	能量 50；冷却 使用 60 秒		从高空轨道向战场发射5束激光，每一束造成50(100 vs 重甲单位)点范围伤害。；打开亚顿之矛轨道轰炸目标模式；真正落点由 execute 能力处理。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
阿塔尼斯	轨道轰炸：落点执行	orbital_strike_execute	SOAOrbitalStrikeExecute	依赖/官方 CAbilEffectTarget	SOAOrbitalStrike	本地 CButton	HaveSOAOrbitalStrike	依赖/官方 CRequirement	SoACasterArtanis	本地 CUnit	点目标	无显式费用/冷却字段	射程 500；主效果 SOAOrbitalStrikeCP	从高空轨道向战场发射5束激光，每一束造成50(100 vs 重甲单位)点范围伤害。；对目标点发射轨道轰炸；官方战役依赖提供该能力，当前本地 profile 已登记。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
阿塔尼斯	能量场	power_field	SOAPylonPower	本地 CAbilEffectTarget	SOAPylonPower	本地 CButton	HaveSOAPylonPower	依赖/官方 CRequirement	SoACasterArtanis	本地 CUnit	点目标	无显式费用/冷却字段	主效果 SOAPylonPowerCoop	在目标位置投射一个能量场。再次使用这个技能会将能量场移动到一个新的位置。你的盟友也能使用这个能量场。；在指定点投放能量场，用于折跃和供能。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
阿塔尼斯	护盾超载	shield_overcharge	SoASuperShield	依赖/官方 CAbilEffectInstant	SOASuperShield	本地 CButton	HaveSOASuperShield	本地 CRequirement	SoACasterArtanis	本地 CUnit	瞬发	能量 50；冷却 初始 180 秒，使用 180 秒	主效果 SOASuperShieldDummy	友方单位和建筑最多能吸收100点伤害，持续20秒。；全地图护盾超载；官方战役依赖提供该能力，按钮和需求已接入 profile。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
阿塔尼斯	太阳轰炸	solar_bombardment	SOAStrafeAttack	依赖/官方 CAbilEffectTarget	SOAStrafeAttack	本地 CButton	HaveSOAStrafeAttack	依赖/官方 CRequirement	SoACasterArtanis	本地 CUnit	点目标	冷却 初始 300 秒，使用 300 秒	射程 500；主效果 SOAStrafeAttackCreateTargeter	从亚顿之矛上发射200发随机攻击轰炸目标区域，持续15秒。每一发攻击造成15(30 vs 重甲单位)点范围伤害。；发起太阳轰炸/扫射类面板能力；execute 项负责落点执行。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
阿塔尼斯	太阳轰炸：落点执行	solar_bombardment_execute	SOAStrafeAttackExecute	依赖/官方 CAbilEffectTarget	SOAStrafeAttack	本地 CButton		未使用	SoACasterArtanis	本地 CUnit	点目标	无显式费用/冷却字段	射程 500；主效果 SOAStrafeAttackMovePersistent	从亚顿之矛上发射200发随机攻击轰炸目标区域，持续15秒。每一发攻击造成15(30 vs 重甲单位)点范围伤害。；太阳轰炸执行项；当前作为 profile metadata 检查，不直接发射实机效果。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
