File	Size	MatchedBy	Snippet
mods\novastoryassets.sc2mod\base.sc2maps\maps\campaign\nova\nova02.sc2map\ai8baf88e7.galaxy	54612	Brutalisk	reateCount = 1; }      if (createCount > 0) {          UnitCreate(createCount, "Brutalisk", 0, p, createPoint, PointGetFacing(createPoint));          AIAttackWaveUseGrou
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zhybrid02.sc2map\aiffa30158.galaxy	97072	Brutalisk	ypoints(p);        Wait(ts, c_timeAI);      TriggerExecute(TriggerFind("gt_IntroBrutaliskObjective_Func"), true, false);      tf = 0;      if (tf > 0) {          Wait(tf
mods\core.sc2mod\zhcn.sc2data\localizeddata\editor\editorcatalogstrings.txt	1739408	Abathur	m=中型 /// Medium  EDSTR_ENUMVAL_e_glUltra=过激 /// Ultra  EDSTR_ENUMVAL_e_glueThemeAbathur=阿巴瑟  EDSTR_ENUMVAL_e_glueThemeAlarak=阿拉纳克  EDSTR_ENUMVAL_e_glueThemeAnniversary
mods\missionpacks\novacampaign.sc2mod\dede.sc2data\localizeddata\triggerstrings.txt	441919	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
mods\missionpacks\novacampaign.sc2mod\enus.sc2data\localizeddata\triggerstrings.txt	277257	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency.  FunctionDef/Hint/lib_NCM
mods\missionpacks\novacampaign.sc2mod\eses.sc2data\localizeddata\triggerstrings.txt	441919	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
mods\missionpacks\novacampaign.sc2mod\esmx.sc2data\localizeddata\triggerstrings.txt	441919	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
mods\missionpacks\novacampaign.sc2mod\frfr.sc2data\localizeddata\triggerstrings.txt	441919	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
mods\missionpacks\novacampaign.sc2mod\itit.sc2data\localizeddata\triggerstrings.txt	441919	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
mods\missionpacks\novacampaign.sc2mod\kokr.sc2data\localizeddata\triggerstrings.txt	441919	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
mods\missionpacks\novacampaign.sc2mod\plpl.sc2data\localizeddata\triggerstrings.txt	441919	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
mods\missionpacks\novacampaign.sc2mod\ptbr.sc2data\localizeddata\triggerstrings.txt	441919	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
mods\missionpacks\novacampaign.sc2mod\ruru.sc2data\localizeddata\triggerstrings.txt	441919	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
mods\missionpacks\novacampaign.sc2mod\zhcn.sc2data\localizeddata\triggerstrings.txt	441919	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
mods\missionpacks\novacampaign.sc2mod\zhtw.sc2data\localizeddata\triggerstrings.txt	441919	Mend	cified unit ability.  Due to the smart lookup done by this function, it is recommended to avoid using this function with a high frequency. ///Auto - Copied from enU
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\tarcade.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	40452	Leviathan	A2C7=Tip  Category/Name/8080A31D=Support  Category/Name/87483555=Level 2 Boss - Leviathan  Category/Name/8FA00E90=Mob Behavior  Category/Name/9AC6A329=Fade In/Out  Categ
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\thorner05s.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	29459	Brutalisk	43350E=Objective Primary - Fusion Reactor  Category/Name/009549CC=Computer 06 - Brutalisk  Category/Name/0298AE6C=Briefing Cinematic  Category/Name/0A7CAF5C=ExplosionsAs
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\ttosh01.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	9917	Brutalisk	Category/Name/1211EDE2=Critters  Category/Name/5386B5CC=Lab Research - Kill the Brutalisk  Category/Name/540A74A8=Variables  Category/Name/55D1CC10=Scripted Events  Cate
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\ttychus03.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	16878	Brutalisk	/069F74CB=Scripted Base Attacks  Category/Name/0741AE1C=Lab Research - Kill the Brutalisk  Category/Name/0F3D8DB3========OBJECTIVES======  Category/Name/157625D9=Site 3 
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\tvalerian02b.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	14552	Leviathan	289C9=AI  Category/Name/036FC2A2=Victory/Defeat  Category/Name/19ACF57A=Midgame Leviathan Cinematic  Category/Name/1D219AF4=Stats & Achievements  Category/Name/2A82763F=
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\tvalerian03.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	13659	Leviathan	ain G (29 - 30 mins)  Trigger/Name/0A2A3519=Debug WavesB  Trigger/Name/0B3E29E4=Leviathan Spawns Muta/BLord  Trigger/Name/0EE5C54A=Zerg Left Extra D  Trigger/Name/0F317F
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zchar01.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	12673	Abathur	H  Trigger/Name/889EBF76=Defeat Primary Objective Failed  Trigger/Name/89B166A0=Abathur Teaches Banelings Q  Trigger/Name/8A389DB5=CHEAT - 100 Eggs  Trigger/Name/8CBAE
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zchar02.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	13058	Biomass	/859380BC=Starting Sequence  Category/Name/9647B2FE=Bonus Objective - Find Zerg Biomass  Category/Name/B120EFF4=Scripted Events  Category/Name/BB5BB6AB=Main Objective 
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zchar03.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	13726	Biomass	tack  Trigger/Name/7EF66E4A=Victory Cinematic End  Trigger/Name/808C2949=Terran Biomass Reaction  Trigger/Name/843DA4E5=Expansion - Drop Pod Defense  Trigger/Name/87C8
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zexpedition03.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	18931	Biomass	/Name/8E0CA784=Scripted Events  Category/Name/913DF68D=Primary Objective - Gain Biomass  Category/Name/966BD48E=All Sections  Category/Name/9C5CA5FB=Part 2 (Resource C
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zhybrid02.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	12095	Brutalisk	CD3FA======== MAIN =======  Category/Name/22FA950C=Bonus Objective - Rescue the Brutalisks  Category/Name/29AAA230=AI  Category/Name/29B0B346======== CINEMATIC =======  
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal01.sc2map\enus.sc2data\localizeddata\triggerstrings.txt	13675	Leviathan	Destroy Gates Complete  Trigger/Name/7C42156E=Intro Zerg  Trigger/Name/7D0C7F28=Leviathan Safety  Trigger/Name/7FE51437=Show Next Landing  Trigger/Name/80299E9A=Bile Lau
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zkorhal02.sc2map\dede.sc2data\localizeddata\triggerstrings.txt	19977	Mend	ger/Name/4565212A=Handle Kerrigan Death  Trigger/Name/4810BBF1=Teach - Dehaka - Mend Used  Trigger/Name/490A3A00=Start P04 Teal Attack Waves  Trigger/Name/490A8BB9=
