ObjectId	CatalogType	OfficialSource	TargetFile
AbathurCreateSymbiote	CAbilEffectInstant	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurCreepMend	CAbilEffectInstant	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurDeepTunnel	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurDeepTunnelImproved	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurMarkforCollection	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurMend	CAbilEffectInstant	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurMendOld	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurSpawnLocusts	CAbilEffectInstant	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurSymbioteHangerBrutalisk	CAbilArmMagazine	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurSymbioteHangerLeviathan	CAbilArmMagazine	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurUltimateEvolution	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BileLauncherZagaraBombardment	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BiomassDisplayToggle	CAbilBehavior	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BiomassPickup	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BiomassPickupMarked	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BiomassTargetMark	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BioMechanicalTransfusion	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BrokenSolarForge	CAbilMorph	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BrutaliskDeepTunnel	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BurrowBrutaliskDown	CAbilMorph	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BurrowBrutaliskUp	CAbilMorph	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BurrowDehakaDroneUp	CAbilMorph	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	合作指挥官版起义狂潮\Mods\XM\XMAbathur.SC2Mod\Base.SC2Data\GameData\AbilData.xml
