ObjectId	CatalogType	OfficialSource	TargetFile
AbathurDeepTunnel	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurDeepTunnelImproved	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurSymbioteHangerBrutalisk	CAbilArmMagazine	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakACDeadlyCharge	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakACSummonDeathfleet	CAbilEffectInstant	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakACSummonDeathfleetTarget	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakEmpower	CAbilEffectInstant	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakKnockback	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakRevive	CAbilRevive	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakStructureOvercharge	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakZealotFrenziedOverload	CAbilEffectInstant	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
ApocaliskBurrowCharge	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
Apocalypse	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
ArchonWarp	CAbilMerge	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
ArmoryResearchVoidCoop	CAbilResearch	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
Banshee_BlackOpsAirstrike	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BansheeAirstrike	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BarracksTrain	CAbilTrain	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BarracksTrainNova	CAbilWarpTrain	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BioMechanicalTransfusion	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
Blink	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BlinkSlayer	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BrokenFenixAltarOfPsiStorms	CAbilMorph	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BrokenSolarForge	CAbilMorph	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BrutaliskDeepTunnel	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BurrowBrutaliskDown	CAbilMorph	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BurrowBrutaliskUp	CAbilMorph	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BurrowDehakaCoopUp	CAbilMorph	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BurrowDehakaDroneUp	CAbilMorph	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BurrowQueenUpCoop	System.Xml.XmlElement	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
BurrowRavagerAbathurUp	CAbilMorph	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
CalldownMULE	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
CarrierAiurHanger	CAbilArmMagazine	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
CarrierRepairDroneHanger	CAbilArmMagazine	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
Charge	CAbilAugment	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
ChargeBuster	CAbilBehavior	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
ChargedBuster	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
CommandCenterTrain	CAbilTrain	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
CommanderPrestigeVorazunTimeStop	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
CommanderPrestigeZagaraZagaraDeepTunnel	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
ConstructDrakkenLaserDrillCoop	CAbilMorph	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
Contaminate	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
CorrosiveAcid	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
Corruption	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
CreateSymbiotes	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
CreepTumorBuild	CAbilBuild	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
CyberneticsCoreResearch	CAbilResearch	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
CycloneWreckage	CAbilMorph	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
DamagedEvolutionPit	CAbilMorph	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
DarkArchonMerge	CAbilMerge	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
DarkArchonMindControl	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
DarkPylonMorph	CAbilMorph	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
DarkPylonRecall	CAbilEffectTarget	imported from starcoop	c:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMKarax.SC2Mod\Base.SC2Data\GameData\AbilData.xml
