UnitId	NameZh	Subtitle
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
AcidBarrage	酸液弹幕	
AcidMortarWeapon	酸液迫击炮武器	
AegisGuardWeapon	神盾守卫武器	
AnkylosWeapon	甲龙武器	
ArchangelMissile	大天使导弹	
Archon		
Armory		
Assimilator		
ATXBatteryMissile	ATX电池导弹	
BanelingBurrowed		
Barracks		
BarracksTechLab		
BasiliskMissile	巨蛇导弹	
Blightbringer		
Brakk		
BroodLord		
Brutalisk		
Bunker		
CarrierAiur		
CarrierTaldarim		
CasterWeapon	施法者武器	
Changeling		
ChangelingMarine		
ChangelingMarineShield		
ChangelingZealot		
ChangelingZergling		
ChangelingZerglingWings		
CODXelNagaConstructMissilesWeapon		
ColossusTaldarim		
CommandCenter		
CondorMissile	秃鹫导弹	
CreepTumor		
CreepTumorBurrowed		
CreepTumorUsed		
CyberneticsCore		
DarkArchon		
DarkTemplarAiur		
DarkTemplarShakuras		
DarkTemplarTaldarim		
DefilerMP	蝎虫(多人模式)	
DefilerMPBurrowed	蝎虫(潜地)	
DefilerMPDarkSwarmWeapon		
Dehaka		
DehakaBurrowed		
DevilDog		
Devourer		
Disruptor		
DisruptorPhased		
DominionKillTeam		
Dragoon		
Drone		
DukesRevenge		
DuskWing		
Egg		
EngineeringBay		
EvolutionChamber		
Factory		
FactoryTechLab		
Fireball	火球	
Firebat		
FleetBeacon		
Food1000		
Forge		
FrozenShards	冰霜碎片	
Gateway		
GehennaCruiser		
Ghost		
GiantYeti	熊齿兽阿尔法	
GloomstalkerArrow	幽影猎手箭矢	
GreaterNydusWorm		
GreaterSpire		
Hatchery		
Hellion		
HellionTank		
HelsAngelAssault		
HelsAngelFighter		
HighArchonTemplar		
HighTemplarTaldarim		
Hive		
HotSHunter		
HotSHunterBurrowed		
HotSNoxious		
HotSRaptor		
HotSRaptorBurrowed		
HotSSplitterlingBigBurrowed		
HotSSwarmling		
HotSSwarmlingBurrowed		
HotSTorrasque		
HunterKiller	屠猎者	屠猎变种
HunterKillerBurrowed		
HybridBehemoth		
HybridDominatorVoid		
HybridNemesis		
HybridReaver		
Hydralisk	刺蛇	
HydraliskDen		
HydraliskImpaler		
HydraliskLurker		
ImmortalAiur		
ImmortalShakuras		
ImmortalTaldarim		
Impaler		
ImpalerBurrowed		
IndraBurrowed	雷兽(潜地)	
InfestedAbomination		
